06.12.2021;;16468,24;
06.12.2021;;344828,52;
06.12.2021;;333991,28;
07.12.2021;87058;;320255,97
07.12.2021;87059;;388363,02
07.12.2021;;360825,34;
07.12.2021;;310955,56;
07.12.2021;;301734,36;
07.12.2021;;351657,92;
07.12.2021;;231206;
07.12.2021;;36665,61;
07.12.2021;;525704;
08.12.2021;;156329,9;
08.12.2021;;17247,9;
08.12.2021;;508993,42;
08.12.2021;;303667,07;
08.12.2021;;184365,35;
08.12.2021;;312794,02;
08.12.2021;;15981,54;
08.12.2021;;403755,54;
08.12.2021;;587932,38;
09.12.2021;87841;;900000
09.12.2021;;302547,63;
09.12.2021;;171453,67;
09.12.2021;;299272,75;
09.12.2021;;399313,79;
09.12.2021;;176087,81;
09.12.2021;;31824,32;
09.12.2021;;479193,89;
09.12.2021;;386550,52;
09.12.2021;;800022,8;
09.12.2021;;1052392;
10.12.2021;;13042,68;
10.12.2021;;508550,98;
10.12.2021;;123068,57;
10.12.2021;;10565,16;
13.12.2021;;1140,36;
14.12.2021;89594;;373310,73
14.12.2021;89592;;1387445,92
14.12.2021;89593;;2367572,59
14.12.2021;;292712,87;
15.12.2021;;292243,43;
15.12.2021;;210568,97;
15.12.2021;;14811,5;
15.12.2021;;378042,53;
15.12.2021;;702806,2;
15.12.2021;;115988,76;
15.12.2021;;17788,5;
15.12.2021;;347836,89;
15.12.2021;;394716,46;
16.12.2021;89842;;3000000
16.12.2021;;5710;
17.12.2021;;836186,75;
17.12.2021;;844905,02;
17.12.2021;;838401,25;
17.12.2021;;838227,71;
17.12.2021;;617175,8;
17.12.2021;;838732,18;
17.12.2021;;842386,54;
17.12.2021;;849925,93;
17.12.2021;;842341,05;
17.12.2021;;900631,49;
17.12.2021;;910904,73;
17.12.2021;;1169820,19;
17.12.2021;;1094017,4;
20.12.2021;;170298,38;
21.12.2021;;213664,55;
21.12.2021;;239125,09;
22.12.2021;;644588;
24.12.2021;;58892;
27.12.2021;;24213,96;
28.12.2021;;49694,8;
30.12.2021;93629;;1000000
